City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
260,Kamsack,CA,14.0,clear sky,51.57,-101.9,Vágás Vendégház
261,Shimoda,JP,55.4,scattered clouds,34.67,138.95,Liquor Store Kamsack & Woodlander Hotel
265,Grindavik,IS,44.6,moderate rain,63.84,-22.43,Shimoda Tokyu Hotel
268,Rosiori,RO,46.99,overcast clouds,44.8,27.38,Northern Light Inn & Max's Restaurant
272,Luxor,EG,55.4,scattered clouds,25.7,32.64,Hilton Garden Inn Albuquerque North/Rio Rancho
280,Fairbanks,US,8.01,scattered clouds,64.84,-147.72,Iberotel Luxor
281,Abu Samrah,SY,42.51,clear sky,35.3,37.18,Westmark Fairbanks Hotel & Conference Center
285,Aksay,RU,10.99,clear sky,47.26,39.87,Brown Dot Gijang Yeonhwari
287,Biasca,CH,39.0,fog,46.36,8.97,Chernaya Zhemchuzhina
289,Prince Rupert,CA,41.0,overcast clouds,54.32,-130.32,Al Giardinetto
291,Jiayuguan,CN,12.9,broken clouds,39.82,98.3,Crest Hotel
292,Kurilsk,RU,33.33,clear sky,45.23,147.88,Jiugang Hotel - Jiayuguan
295,Bud,US,17.6,overcast clouds,39.45,-86.18,City of Kurilsk
298,Sept-Iles,CA,35.6,moderate rain,50.2,-66.38,Samson Hotel
300,Bergerac,FR,41.0,few clouds,44.83,0.5,Comfort Inn
302,Hillsboro,US,41.0,overcast clouds,45.52,-122.99,"The Originals City, Hôtel de Bordeaux, Bergerac (Inter-Hotel)"
303,Kruisfontein,ZA,55.0,clear sky,-34.0,24.73,Econo Lodge Inn & Suites Hillsboro - Portland West
306,Chapais,CA,37.4,light rain,49.78,-74.85,Oyster Bay House Rental
310,Champaign,US,14.0,light snow,40.13,-88.2,Hôtel Opémiska
312,Debre Tabor,ET,51.51,overcast clouds,11.85,38.02,"Comfort Suites Urbana Champaign, University Area"
313,Shingu,JP,50.0,broken clouds,33.73,135.98,Tigesh
318,Laguna,US,51.8,clear sky,38.42,-121.42,Shingu UI Hotel
319,Tura,IN,55.98,few clouds,25.52,90.22,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
320,Dinan,FR,42.8,broken clouds,48.42,-2.25,Hotel RIKMAN Continental
321,Bani Walid,LY,54.84,clear sky,31.76,13.99,Gîte HAQUIN Michel et Jocelyne
334,Zilair,RU,9.05,broken clouds,52.23,57.44,منزل الصابر أبوفانة
336,Baryatino,RU,31.51,light snow,54.31,34.52,Gallows Cove
338,Komsomolskiy,UZ,30.2,mist,40.43,71.72,Quality Inn & Suites Toppenish - Yakima Valley
343,Soria,ES,32.0,few clouds,41.67,-2.67,Ikathouse
345,Balky,UA,33.78,overcast clouds,47.38,34.94,Casa Rural Sierra de Inodejo
351,Polis,CY,55.4,overcast clouds,35.04,32.43,Dneprorudnenskyy Horodskoy Sovet
352,Muros,ES,48.99,clear sky,42.78,-9.06,Marion
353,Narsaq,GL,24.8,clear sky,60.92,-46.05,Apartment Av. Castelao
354,Alcudia,ES,55.99,broken clouds,39.85,3.12,Hotel Narsaq
356,Xining,CN,14.77,overcast clouds,36.62,101.77,Zafiro Tropic
360,Mikhaylovka,RU,10.08,clear sky,50.06,43.24,Super Leisure Hotel
362,Hami,CN,16.83,clear sky,42.8,93.45,5 Komnat
364,Veseloyarsk,RU,12.85,light snow,51.28,81.11,Laoyutang Resort
368,Kadoma,JP,46.99,broken clouds,34.73,135.58,Hostel on Brestskaya 107
370,Daye,CN,46.58,clear sky,30.08,114.95,Hotel Agora Osaka Moriguchi
374,Timra,SE,33.01,overcast clouds,62.49,17.33,丽江花马驿精品客栈
376,Nybro,SE,36.0,clear sky,56.74,15.91,Wifstavarfs Herrgård
377,Harlingen,US,51.8,clear sky,26.19,-97.7,Stora Hotellet I Nybro
378,Camargo,MX,40.59,scattered clouds,27.67,-105.17,Courtyard by Marriott Harlingen
382,Barcelona,ES,50.0,few clouds,41.39,2.16,Hotel Santa Fe
384,Hays,US,45.0,clear sky,30.05,-98.03,Axel Hotel Barcelona
388,Along,IN,49.87,few clouds,28.17,94.77,Sinya on Lone Man Creek
396,Faya,SA,53.6,clear sky,18.39,42.45,Hotel West
398,Fredonia,US,33.8,snow,42.44,-79.33,مقبرة ال مجمل
399,Ventspils,LV,37.4,broken clouds,57.39,21.56,Best Western Dunkirk & Fredonia Inn
400,Terme,TR,33.8,clear sky,41.21,36.97,Jūras brīze
402,Helong,CN,13.3,few clouds,42.54,129.0,OTEL GÜVEN TERME
404,Saint-Augustin,CA,31.69,overcast clouds,51.23,-58.65,Helong Hotel
410,Plouzane,FR,41.0,broken clouds,48.38,-4.62,Noble Inn
413,Novikovo,RU,14.9,overcast clouds,51.15,37.89,Résidence Nemea Iroise Armorique
422,Malartic,CA,32.0,broken clouds,48.13,-78.13,Wingate By Wyndham Rome
424,Wichita Falls,US,50.0,clear sky,33.91,-98.49,Camping Regional De Malartic
425,Yumen,CN,14.85,overcast clouds,40.28,97.2,Quality Inn & Suites Wichita Falls I-44
434,Valdosta,US,46.4,overcast clouds,30.83,-83.28,Batumi World Palace Hotel
436,Shuyskoye,RU,14.76,overcast clouds,59.37,41.03,Courtyard by Marriott Valdosta
440,Saint-Jean-Port-Joli,CA,44.6,moderate rain,47.22,-70.27,Honfleur
443,Pueblo,US,46.4,clear sky,38.25,-104.61,Motel Blanche d'Haberville
444,Paamiut,GL,23.83,light snow,61.99,-49.67,Hampton Inn & Suites Pueblo-Southgate
452,Havre,FR,41.0,overcast clouds,49.58,0.33,Yeet Hotel
456,Murovani Kurylivtsi,UA,43.23,overcast clouds,48.72,27.52,gite bois jourdain
458,Biscarrosse,FR,39.2,clear sky,44.39,-1.17,Dnipro Hotelʹ Dnipropetrovsʹk
459,Chiang Klang,TH,53.6,clear sky,19.29,100.86,Saint Hubert
460,Lata,PT,42.01,clear sky,40.16,-8.33,Sangthongresort
461,Skrunda,LV,33.8,light rain,56.68,22.02,Casa Maquia
462,Farah,AF,47.84,overcast clouds,32.5,62.5,Skrunda Manor
467,Margate,GB,41.0,broken clouds,51.38,1.39,Yiranju Farmstay
471,Hofn,IS,45.3,overcast clouds,64.25,-15.21,Premier Inn Margate hotel
472,Winnemucca,US,35.6,clear sky,40.97,-117.74,Hótel Höfn
473,Shizuishan,CN,17.51,clear sky,39.23,106.77,Winners Inn Casino
474,Nizwa,OM,53.1,clear sky,22.93,57.53,Xingji Hotel
478,Bayir,TR,39.2,clear sky,37.27,28.22,Orient Apartments
481,Bogotol,RU,12.56,light snow,56.21,89.53,Hotel Babadag
485,Vorontsovka,RU,9.9,broken clouds,50.61,40.35,Vishnyakovykh 12
492,Sisimiut,GL,17.35,light snow,66.94,-53.67,Hotel Sundar Rara Karnali
493,Hun,LY,53.78,clear sky,29.13,15.95,Hotel Sisimiut
494,Buraydah,SA,51.8,clear sky,26.33,43.98,Alrwasi Hotel
496,Kelvington,CA,30.2,few clouds,52.17,-103.53,Mövenpick Hotel Qassim
500,Hof,DE,35.01,overcast clouds,50.32,11.92,Sportsman Motel
501,Bonavista,CA,30.2,clear sky,48.65,-53.11,Hotel Burghof
503,Vestmannaeyjar,IS,46.54,light rain,63.44,-20.27,Abbott's Bed & Breakfast
505,Haines Junction,CA,8.89,overcast clouds,60.75,-137.51,Glamping & Camping
508,Villazon,BO,50.09,heavy intensity rain,-22.09,-65.59,Parkside Inn
